Date,January,February,March,April,May,June,July,August,September,October,November,December
01,368,328,167,66,32,78,51,51,43,50,231,204
02,338,338,174,75,27,78,41,37,41,104,180,180
03,364,338,224,64,33,65,48,46,25,73,141,207
04,408,306,230,82,38,76,65,64,27,65,135,234
05,382,322,90,78,79,56,66,72,26,66,208,194
06,308,340,150,88,87,45,52,56,28,86,331,177
07,288,332,212,66,90,48,44,35,26,73,215,137
08,310,306,168,68,102,44,58,30,27,70,154,182
09,335,262,237,67,101,61,61,40,38,45,51,114
10,364,151,218,60,104,69,57,60,48,58,41,135
11,363,178,110,58,86,66,58,93,38,70,65,156
12,402,248,269,62,80,69,59,61,37,95,170,135
13,374,264,144,74,,80,69,23,43,114,231,214
14,402,331,205,64,,94,82,47,58,150,187,262
15,386,344,222,68,86,87,86,50,70,134,184,239
16,314,254,100,84,84,58,89,53,49,136,178,152
17,340,212,144,116,96,72,101,31,40,76,204,128
18,364,228,98,178,96,111,90,41,31,157,219,145
19,399,298,124,170,97,91,40,31,24,140,229,149
20,396,208,122,116,113,91,43,41,42,122,205,172
21,397,298,130,82,88,44,52,58,59,196,202,258
22,410,212,91,86,88,44,48,64,51,167,195,234
23,419,226,117,64,78,39,42,43,40,178,241,268
24,373,254,228,73,76,50,38,38,22,94,290,300
25,323,186,202,59,72,60,63,38,31,47,259,240
26,284,123,204,68,87,50,63,37,41,52,267,256
27,248,64,130,87,112,45,52,37,34,125,253,150
28,245,68,127,80,111,58,33,45,37,160,181,274
29,214,,168,74,109,76,29,34,32,219,193,222
30,237,,94,45,102,101,41,37,31,205,227,243
31,275,,106,,91,,51,36,,244,,262
