Day,January,February,March,April,May,June,July,August,September,October,November,December
1,261,168,113,52,59,77,43,42,104,31,110,116
2,221,110,90,54,68,87,48,37,106,39,109,103
3,236,130,129,102,51,79,47,38,65,31,184,188
4,213,187,140,59,52,77,50,49,42,32,102,159
5,233,172,154,74,54,72,30,48,33,43,133,147
6,247,177,128,111,86,86,29,49,30,63,127,74
7,269,101,112,107,96,78,51,48,30,76,203,68
8,311,85,110,134,78,76,40,46,29,89,211,37
9,292,121,105,131,90,61,40,70,34,80,261,94
10,242,187,133,134,77,58,46,94,41,138,282,177
11,270,134,128,159,56,73,41,91,39,139,269,162
12,272,109,143,126,58,61,32,62,59,166,248,199
13,238,119,139,131,50,67,35,54,40,130,218,190
14,100,139,119,122,65,69,38,64,31,121,135,210
15,181,201,111,127,69,65,44,77,31,125,102,241
16,162,200,85,106,67,67,31,71,36,135,87,242
17,182,153,74,109,64,62,34,58,40,175,50,248
18,204,101,129,102,53,57,30,43,42,166,44,245
19,213,90,71,83,52,45,30,34,29,106,76,209
20,257,83,37,90,55,50,32,50,28,89,96,236
21,302,77,45,89,60,43,33,62,30,96,127,155
22,297,110,97,105,54,42,32,49,38,85,194,199
23,242,78,72,78,94,36,33,52,34,107,264,216
24,244,87,72,57,52,36,32,38,35,70,268,172
25,220,111,57,75,61,38,33,42,39,55,211,206
26,208,155,53,89,50,38,32,50,39,87,159,205
27,189,105,66,60,50,32,32,78,43,100,168,205
28,147,119,118,61,67,27,34,126,61,140,129,198
29,140,,55,68,70,32,32,180,99,180,150,198
30,156,,50,62,86,51,40,139,52,123,224,191
31,226,,54,,83,,46,135,,142,,170
 ,,,,,,,,,,,,
Good,,,3,,3,11,30,15,23,5,2,1
Satisfactory,1,6,12,15,28,19,1,12,5,11,3,3
Moderate,7,21,16,15,,,,4,2,15,14,16
Poor,21,1,,,,,,,,,11,11
Very poor,2,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,100,100,100,100,100,100
